index,0
0,US
1,Spain
2,Italy
3,France
4,Germany
5,United Kingdom
6,China
7,Iran
8,Turkey
9,Belgium
10,Brazil
11,Netherlands
12,Canada
13,Switzerland
14,Russia
15,Portugal
16,Austria
17,Ireland
18,Israel
19,India
20,Sweden
21,Peru
22,"Korea, South"
23,Chile
24,Japan
25,Ecuador
26,Poland
27,Romania
28,Denmark
29,Norway
30,Australia
31,Pakistan
32,Czechia
33,Saudi Arabia
34,Philippines
35,Mexico
36,United Arab Emirates
37,Indonesia
38,Malaysia
39,Serbia
40,Ukraine
41,Belarus
42,Qatar
43,Singapore
44,Dominican Republic
45,Panama
46,Luxembourg
47,Finland
48,Colombia
49,Thailand
50,South Africa
51,Egypt
52,Argentina
53,Greece
54,Algeria
55,Moldova
56,Morocco
57,Croatia
58,Iceland
59,Bahrain
60,Hungary
61,Iraq
62,Kuwait
63,Estonia
64,New Zealand
65,Uzbekistan
66,Kazakhstan
67,Azerbaijan
68,Slovenia
69,Bangladesh
70,Armenia
71,Bosnia and Herzegovina
72,Lithuania
73,North Macedonia
74,Oman
75,Slovakia
76,Cameroon
77,Cuba
78,Afghanistan
79,Tunisia
80,Bulgaria
81,Cyprus
82,Diamond Princess
83,Andorra
84,Latvia
85,Lebanon
86,Cote d'Ivoire
87,Ghana
88,Costa Rica
89,Niger
90,Burkina Faso
91,Uruguay
92,Albania
93,Kyrgyzstan
94,Djibouti
95,Honduras
96,Nigeria
97,Guinea
98,Jordan
99,Malta
100,Bolivia
101,Taiwan*
102,Kosovo
103,Palestine
104,San Marino
105,Mauritius
106,Senegal
107,Georgia
108,Montenegro
109,Vietnam
110,Congo (Kinshasa)
111,Sri Lanka
112,Kenya
113,Venezuela
114,Guatemala
115,Paraguay
116,El Salvador
117,Mali
118,Brunei
119,Rwanda
120,Jamaica
121,Cambodia
122,Congo (Brazzaville)
123,Trinidad and Tobago
124,Madagascar
125,Monaco
126,Tanzania
127,Ethiopia
128,Togo
129,Gabon
130,Somalia
131,Liechtenstein
132,Burma
133,Barbados
134,Liberia
135,Cabo Verde
136,Uganda
137,Guyana
138,Equatorial Guinea
139,Bahamas
140,Zambia
141,Libya
142,Guinea-Bissau
143,Haiti
144,Eritrea
145,Benin
146,Syria
147,Sudan
148,Mongolia
149,Mozambique
150,Antigua and Barbuda
151,Zimbabwe
152,Chad
153,Maldives
154,Angola
155,Laos
156,Belize
157,Fiji
158,Dominica
159,Nepal
160,Namibia
161,Malawi
162,Saint Lucia
163,Eswatini
164,Saint Kitts and Nevis
165,Grenada
166,Botswana
167,Sierra Leone
168,Saint Vincent and the Grenadines
169,Central African Republic
170,Seychelles
171,Suriname
172,MS Zaandam
173,Gambia
174,Nicaragua
175,Timor-Leste
176,Holy See
177,Mauritania
178,Western Sahara
179,Burundi
180,Bhutan
181,South Sudan
182,Sao Tome and Principe
183,Papua New Guinea
184,Yemen